Time,Acc
78,0.058512
78.01,-0.031486
78.02,-0.030485
78.03,-0.041483
78.04,-0.009481
78.05,-0.01248
78.06,0.015522
78.07,-0.036476
78.08,-0.059475
78.09,-0.021473
78.1,-0.008471
78.11,0.03053
78.12,-0.014468
78.13,0.033534
78.14,0.006536
78.15,0.019537
78.16,0.045539
78.17,0.063541
78.18,0.010542
78.19,0.000544
78.2,-0.016454
78.21,-0.049453
78.22,-0.026451
78.23,-0.030449
78.24,0.010552
78.25,-0.005446
78.26,0.019556
78.27,-0.029443
78.28,-0.004441
78.29,0.008561
78.3,0.032563
78.31,0.018564
78.32,0.008566
78.33,0.006568
78.34,0.019569
78.35,0.040571
78.36,0.039573
78.37,0.041574
78.38,0.015576
78.39,-0.009422
78.4,-0.031421
78.41,-0.011419
78.42,-0.026417
78.43,-0.049416
78.44,-0.049414
78.45,-0.053412
78.46,-0.01641
78.47,0.010591
78.48,0.015593
78.49,0.000595
78.5,-0.014404
78.51,-0.013402
78.52,-0.0024
78.53,0.005601
78.54,0.022603
78.55,0.026605
78.56,0.023606
78.57,0.006608
78.58,0.00561
78.59,-0.002389
78.6,-0.017387
78.61,-0.018385
78.62,-0.009384
78.63,-0.041382
78.64,-0.03838
78.65,-0.014378
78.66,-0.020377
78.67,0.013625
78.68,0.005627
78.69,0.017628
78.7,0.03163
78.71,0.033632
78.72,0.014633
78.73,0.012635
78.74,0.008637
78.75,0.014638
78.76,0.01564
78.77,0.023642
78.78,-0.005357
78.79,-0.020355
78.8,-0.030353
78.81,-0.041351
78.82,-0.01835
78.83,-0.014348
78.84,0.010654
78.85,-0.000345
78.86,0.004657
78.87,-0.002341
78.88,-0.00034
78.89,0.008662
78.9,0.018664
78.91,0.031665
78.92,0.026667
78.93,0.031669
78.94,0.01567
78.95,-0.000328
78.96,-0.013326
78.97,-0.017324
78.98,-0.017323
78.99,-0.014321
79,-0.002319
79.01,-0.025318
79.02,-0.036316
79.03,-0.031314
79.04,-0.022313
79.05,-0.009311
79.06,0.023691
79.07,0.032692
79.08,0.014694
79.09,-0.007304
79.1,0.024697
79.11,0.024699
79.12,0.000701
79.13,-0.012297
79.14,0.008704
79.15,-0.022294
79.16,-0.000292
79.17,-0.029291
79.18,-0.017289
79.19,-0.053287
79.2,-0.025286
79.21,-0.000284
79.22,-0.007282
79.23,0.012719
79.24,0.027721
79.25,-0.000277
79.26,0.012724
79.27,-0.004274
79.28,-0.018272
79.29,-0.014271
79.3,0.033731
79.31,0.049733
79.32,0.008735
79.33,-0.029264
79.34,0.008738
79.35,-0.01826
79.36,0.004741
79.37,0.017743
79.38,0.019745
79.39,-0.016254
79.4,-0.014252
79.41,0.00875
79.42,-0.002249
79.43,-0.008247
79.44,0.006755
79.45,0.014756
