Time,Acc
0,0
0.01,-0.003641
0.02,-0.00264
0.03,-0.002638
0.04,0.000364
0.05,0.002365
0.06,-0.000633
0.07,0.000369
0.08,0.00037
0.09,0.002372
0.1,-0.000626
0.11,-0.000624
0.12,0.002377
0.13,0.001379
0.14,0.002381
0.15,0.004382
0.16,0.001384
0.17,0.001386
0.18,0.004387
0.19,0.002389
0.2,0.005391
0.21,0.005392
0.22,0.009394
0.23,0.006396
0.24,0.008397
0.25,0.001399
0.26,0.005401
0.27,0.002403
0.28,0.001404
0.29,0.000406
0.3,-0.002592
0.31,-0.004591
0.32,-0.000589
0.33,-0.003587
0.34,-0.007586
0.35,-0.003584
0.36,-0.003582
0.37,-0.000581
0.38,-0.002579
0.39,-0.002577
0.4,-0.002576
0.41,-0.002574
0.42,-0.000572
0.43,0.00043
0.44,0.002431
0.45,0.001433
0.46,0.001435
0.47,-0.002564
0.48,0.002438
0.49,-0.00056
0.5,0.002441
0.51,0.000443
0.52,-0.002555
0.53,-0.000554
0.54,0.002448
0.55,0.00245
0.56,0.001451
0.57,0.002453
0.58,0.002455
0.59,0.006457
0.6,0.004458
0.61,0.00446
0.62,0.001462
0.63,0.001463
0.64,0.004465
0.65,0.000467
0.66,0.001468
0.67,0.00147
0.68,-0.002528
0.69,-0.006527
0.7,-0.003525
0.71,-0.006523
0.72,-0.003522
0.73,-0.00252
0.74,-0.000518
0.75,0.001483
0.76,0.001485
0.77,-0.000513
0.78,-0.003511
0.79,0.00049
0.8,-0.000508
0.81,0.001494
0.82,-0.000505
0.83,-0.004503
0.84,-0.003501
0.85,-0.0025
0.86,0.005502
0.87,0.004504
0.88,-0.000495
0.89,0.000507
0.9,-0.003491
0.91,0.00151
0.92,-0.000488
0.93,0.000514
0.94,-0.003484
0.95,-0.002483
0.96,-0.003481
0.97,0.000521
0.98,0.001522
0.99,0.000524
1,-0.003474
1.01,0.001527
1.02,-0.000471
1.03,-0.000469
1.04,0.000532
1.05,-0.002466
1.06,-0.002464
1.07,-0.000463
1.08,-0.002461
1.09,-0.000459
1.1,-0.003457
1.11,0.000544
1.12,-0.000454
1.13,0.002548
1.14,0.005549
1.15,0.004551
1.16,-0.000447
1.17,0.002554
1.18,0.001556
1.19,0.002558
1.2,-0.003441
1.21,0.000561
1.22,0.000563
1.23,0.000564
1.24,0.001566
1.25,0.000568
1.26,-0.00243
1.27,0.002571
1.28,0.000573
1.29,0.000575
1.3,0.000576
1.31,0.000578
