Time,Acc
78,0.018359496
78.01,0.012726902
78.02,0.015838667
78.03,0.009510306
78.04,-0.002952212
78.05,0.022909857
78.06,0.035658358
78.07,0.007539632
78.08,0.005172959
78.09,-0.001537644
78.1,-0.040819692
78.11,-0.026461229
78.12,0.003815403
78.13,-0.027662547
78.14,-0.031695368
78.15,0.017826591
78.16,0.019019714
78.17,-0.0128242
78.18,0.000135677
78.19,0.016244066
78.2,0.019057744
78.21,0.031248784
78.22,0.00629357
78.23,-0.013697948
78.24,0.01647728
78.25,0.018871458
78.26,-0.015145649
78.27,-0.009393662
78.28,0.006736868
78.29,-0.021900378
78.3,-0.027086914
78.31,-0.011531594
78.32,-0.020567107
78.33,-0.012940275
78.34,0.00524864
78.35,0.00465535
78.36,0.002085169
78.37,0.018390439
78.38,0.016517756
78.39,0.001596722
78.4,0.019263767
78.41,0.021960254
78.42,0.00615874
78.43,0.00879074
78.44,0.007043634
78.45,-0.009774513
78.46,-0.013842758
78.47,-0.005792133
78.48,-0.018018633
78.49,-0.022176107
78.5,-0.00965559
78.51,-0.011979016
78.52,-0.012760775
78.53,-0.003664143
78.54,0.006928121
78.55,0.016719851
78.56,0.022308883
78.57,0.015155637
78.58,0.00617888
78.59,0.011813163
78.6,0.008263015
78.61,-0.001363065
78.62,0.000747806
78.63,-0.001535272
78.64,-0.010429076
78.65,-0.018381655
78.66,-0.019967885
78.67,-0.014526835
78.68,-0.006841017
78.69,-0.002173382
78.7,-0.002715082
78.71,0.00298352
78.72,0.008532399
78.73,0.00935624
78.74,0.014471827
78.75,0.01704292
78.76,0.016785954
78.77,0.014335914
78.78,0.00817676
78.79,-0.001582135
78.8,-0.009205131
78.81,-0.008524864
78.82,-0.008684898
78.83,-0.010960371
78.84,-0.015039892
78.85,-0.016862517
78.86,-0.011465531
78.87,-0.005896784
78.88,-0.00285558
78.89,-0.000393877
78.9,0.005484515
78.91,0.010136739
78.92,0.011113425
78.93,0.012508924
78.94,0.013249385
78.95,0.014174639
78.96,0.012220715
78.97,0.005999049
78.98,-0.001243508
78.99,-0.007993918
79,-0.012694897
79.01,-0.01486187
79.02,-0.013305238
79.03,-0.009348049
79.04,-0.005431255
79.05,-0.002402603
79.06,-0.001483249
79.07,-0.000587412
79.08,0.001621563
79.09,0.004052019
79.1,0.006700582
79.11,0.009754897
79.12,0.012435187
79.13,0.011759468
79.14,0.008164531
79.15,0.00431013
79.16,0.000340377
79.17,-0.003902408
79.18,-0.00908535
79.19,-0.014410382
79.2,-0.017333306
79.21,-0.015834089
79.22,-0.010378121
79.23,-0.003196156
79.24,0.003708907
79.25,0.007938856
79.26,0.009212727
79.27,0.009381858
79.28,0.009665253
79.29,0.010301002
79.3,0.010613666
79.31,0.0096491
79.32,0.006673959
79.33,0.002239066
79.34,-0.002195368
79.35,-0.005956208
79.36,-0.008648767
79.37,-0.010284028
79.38,-0.011433492
79.39,-0.011921402
79.4,-0.010917496
79.41,-0.008088122
79.42,-0.003806766
79.43,0.001156478
79.44,0.005273515
79.45,0.007468798
79.46,0.00842254
79.47,0.008944551
79.48,0.008859952
79.49,0.007951312
79.5,0.006519599
79.51,0.004604873
79.52,0.001950412
79.53,-0.001260554
79.54,-0.00464411
79.55,-0.007573973
79.56,-0.009217182
79.57,-0.009476852
79.58,-0.008692633
79.59,-0.006759928
79.6,-0.003927346
79.61,-0.00096444
79.62,0.002206203
79.63,0.005824106
79.64,0.008970011
79.65,0.010767443
79.66,0.011007939
79.67,0.009326656
79.68,0.005812786
79.69,0.001587425
79.7,-0.002357164
79.71,-0.005664398
79.72,-0.008023016
79.73,-0.009383398
79.74,-0.010065251
79.75,-0.009990245
79.76,-0.008691908
79.77,-0.005884296
79.78,-0.001796146
79.79,0.002430915
79.8,0.005491457
79.81,0.007438604
79.82,0.009148321
79.83,0.010601554
79.84,0.011115989
79.85,0.010319567
79.86,0.007949171
79.87,0.003935628
79.88,-0.000946379
79.89,-0.005310697
79.9,-0.008156143
79.91,-0.009426747
79.92,-0.009655063
79.93,-0.009219678
79.94,-0.008191039
79.95,-0.006708311
79.96,-0.004842313
79.97,-0.002301547
79.98,0.001041076
79.99,0.004558634
80,0.007330921
80.01,0.008938927
80.02,0.009468192
80.03,0.008984596
80.04,0.007320603
80.05,0.004431825
80.06,0.000728233
80.07,-0.003114769
80.08,-0.006427849
80.09,-0.008559266
80.1,-0.009045895
80.11,-0.007944344
80.12,-0.005770316
80.13,-0.003167299
80.14,-0.000698665
80.15,0.001338557
80.16,0.003045127
80.17,0.004706326
80.18,0.006375661
80.19,0.007760073
80.2,0.008453221
80.21,0.008120611
80.22,0.006549022
80.23,0.003744297
80.24,7.32878E-05
80.25,-0.003796703
80.26,-0.007209559
80.27,-0.009750388
80.28,-0.011155309
80.29,-0.011160263
80.3,-0.009617488
80.31,-0.006662476
80.32,-0.002696096
80.33,0.001643789
80.34,0.005526426
80.35,0.008233652
80.36,0.009521029
80.37,0.009585882
80.38,0.008769254
80.39,0.007353259
80.4,0.005460311
80.41,0.003052859
80.42,0.000133446
80.43,-0.003017132
80.44,-0.005833361
80.45,-0.007727135
80.46,-0.008427173
80.47,-0.008079628
80.48,-0.00697632
80.49,-0.005262221
80.5,-0.002976015
80.51,-0.000246259
80.52,0.002630166
80.53,0.005213449
80.54,0.007005456
80.55,0.007615181
80.56,0.00694007
80.57,0.00524946
80.58,0.003082258
80.59,0.000948907
80.6,-0.000937741
80.61,-0.002629321
80.62,-0.004182708
80.63,-0.005484243
80.64,-0.006289853
80.65,-0.006376475
80.66,-0.005657087
80.67,-0.004187525
80.68,-0.002113184
80.69,0.000355547
80.7,0.00294421
80.71,0.005341778
80.72,0.007243581
80.73,0.008374441
80.74,0.008502444
80.75,0.007485602
80.76,0.005356751
80.77,0.00238987
80.78,-0.000925698
80.79,-0.004022417
80.8,-0.006427989
80.81,-0.007871464
80.82,-0.008291939
80.83,-0.00778883
80.84,-0.006542319
80.85,-0.004727162
80.86,-0.002482791
80.87,2.86257E-05
80.88,0.002548677
80.89,0.004733338
80.9,0.006255068
80.91,0.006916417
80.92,0.006699753
80.93,0.005731393
80.94,0.004190734
80.95,0.002234481
80.96,5.95292E-06
80.97,-0.002282237
80.98,-0.004302535
80.99,-0.005686694
81,-0.006173261
81.01,-0.005720433
81.02,-0.004521983
81.03,-0.002917123
81.04,-0.001226027
81.05,0.000392272
81.06,0.001942065
81.07,0.003445997
81.08,0.004796471
81.09,0.005747308
81.1,0.006034675
81.11,0.005507282
81.12,0.004181631
81.13,0.002222977
81.14,-0.000103404
81.15,-0.002475616
81.16,-0.0045549
81.17,-0.006036551
81.18,-0.006703956
81.19,-0.006466811
81.2,-0.005380516
81.21,-0.00364642
81.22,-0.001576853
81.23,0.000489147
81.24,0.002294039
81.25,0.003722757
81.26,0.004767469
81.27,0.005437922
81.28,0.005702186
81.29,0.005486685
81.3,0.00470971
