Time(s),Acceleration
78,0.313655293
78.01,0.425065282
78.02,-0.135753026
78.03,-0.096089047
78.04,0.043618421
78.05,-0.190192903
78.06,0.029161237
78.07,0.372291982
78.08,-0.052036216
78.09,-0.410996821
78.1,-0.003059911
78.11,0.383230598
78.12,0.343331257
78.13,0.019439732
78.14,-0.394643504
78.15,-0.126500368
78.16,0.593022577
78.17,0.289494294
78.18,-0.439627779
78.19,-0.125566797
78.2,0.320763723
78.21,0.014159622
78.22,-0.288170666
78.23,-0.077054238
78.24,0.128933599
78.25,-0.02703463
78.26,-0.072434225
78.27,-0.017429443
78.28,-0.12326811
78.29,-0.111836532
78.3,0.034476166
78.31,0.040897511
78.32,-0.162281137
78.33,-0.272401086
78.34,-0.021789225
78.35,0.289455014
78.36,0.1416763
78.37,-0.167448012
78.38,-0.038140519
78.39,0.131737862
78.4,0.050679861
78.41,-0.057508415
78.42,-0.144801752
78.43,-0.090254382
78.44,0.080497368
78.45,0.195858036
78.46,0.042642691
78.47,-0.176786347
78.48,-0.012138262
78.49,0.167233611
78.5,-0.01989293
78.51,-0.21843436
78.52,-0.041430234
78.53,0.189488067
78.54,0.081672905
78.55,0.036406683
78.56,0.132843121
78.57,0.014869838
78.58,-0.115833979
78.59,0.044730838
78.6,0.147342547
78.61,-0.115543847
78.62,-0.198631515
78.63,0.074878129
78.64,0.186778107
78.65,-0.005502457
78.66,-0.15994025
78.67,0.013136395
78.68,0.165797381
78.69,0.031058223
78.7,-0.065092301
78.71,0.0391799
78.72,0.106209033
78.73,0.018001741
78.74,0.01765025
78.75,0.022739517
78.76,-0.097202301
78.77,-0.068244544
78.78,0.053392916
78.79,-0.000191473
78.8,-0.150615816
78.81,-0.110607249
78.82,0.040009168
78.83,0.01197904
78.84,-0.105977341
78.85,-0.142764015
78.86,-0.063195788
78.87,0.03925133
78.88,0.051674821
78.89,0.013672511
78.9,-0.016268094
78.91,-0.000965501
78.92,0.022539017
78.93,0.004482841
78.94,-0.042065233
78.95,-0.053250001
78.96,0.027688842
78.97,0.093408219
78.98,0.071769065
78.99,0.017942157
79,-0.011570434
79.01,0.001501892
79.02,0.004260201
79.03,-0.014433641
79.04,-0.031652092
79.05,-0.00730857
79.06,0.06824641
79.07,0.090998967
79.08,0.034189743
79.09,0.000646654
79.1,0.03815437
79.11,0.049492521
79.12,-0.012473979
79.13,-0.051018966
79.14,-0.031916032
79.15,0.010199111
79.16,0.035655982
79.17,0.014486401
79.18,-0.033957743
79.19,-0.056752483
79.2,-0.019242849
79.21,0.014527727
79.22,-0.008934165
79.23,-0.031135252
79.24,-0.00287834
79.25,0.046455635
79.26,0.062149641
79.27,0.040049241
79.28,0.010626929
79.29,-0.002875426
79.3,0.000964024
79.31,-0.005586695
79.32,-0.026787195
79.33,-0.034186915
79.34,-0.012640635
79.35,0.007879107
79.36,-0.005641537
79.37,-0.026289754
79.38,-0.02051477
79.39,0.00044417
79.4,0.00348601
79.41,-0.020365892
79.42,-0.043806136
79.43,-0.046218402
79.44,-0.031270853
79.45,-0.023081022
79.46,-0.036927679
79.47,-0.044471823
79.48,-0.011491007
79.49,0.038724913
79.5,0.047608193
79.51,0.015751026
79.52,-0.003107481
79.53,0.00317439
79.54,0.001926572
79.55,-0.014274855
79.56,-0.019047054
79.57,-0.007994416
79.58,0.000571976
79.59,0.00596145
79.6,0.012153271
79.61,0.013093137
79.62,0.01486785
79.63,0.029067511
79.64,0.039342167
79.65,0.029029326
79.66,0.025856211
79.67,0.053471656
79.68,0.080446392
79.69,0.072114651
79.7,0.044945032
79.71,0.026973142
79.72,0.013327186
79.73,-0.005389162
79.74,-0.022308679
79.75,-0.033432759
79.76,-0.03921245
79.77,-0.033765569
79.78,-0.015669671
79.79,0.000470812
79.8,0.003164643
79.81,0.000920374
79.82,0.00277697
79.83,4.72E-06
79.84,-0.01542423
79.85,-0.031534053
79.86,-0.036180732
79.87,-0.036931101
79.88,-0.043750587
79.89,-0.050256884
79.9,-0.044765719
79.91,-0.029577947
79.92,-0.018506667
79.93,-0.019931604
79.94,-0.027973779
79.95,-0.029765114
79.96,-0.021717966
79.97,-0.01240162
79.98,-0.007179413
79.99,1.95E-05
80,0.015798281
80.01,0.036400229
80.02,0.051961474
80.03,0.055763956
80.04,0.048612931
80.05,0.03837988
80.06,0.033135715
80.07,0.032139305
80.08,0.028024324
80.09,0.019117993
80.1,0.010531247
80.11,0.00314591
80.12,-0.006924575
80.13,-0.018399957
80.14,-0.024409239
80.15,-0.022548165
80.16,-0.017043749
80.17,-0.010412047
80.18,-0.000791046
80.19,0.01190913
80.2,0.022613281
80.21,0.024808533
80.22,0.016228492
80.23,0.001653341
80.24,-0.010250881
80.25,-0.014977099
80.26,-0.015467552
80.27,-0.015325909
80.28,-0.012354992
80.29,-0.003287708
80.3,0.007920833
80.31,0.013276259
80.32,0.011702595
80.33,0.010417045
80.34,0.014485587
80.35,0.020622515
80.36,0.02312867
80.37,0.020975677
80.38,0.016566367
80.39,0.011024913
80.4,0.003450429
80.41,-0.006528488
80.42,-0.017303544
80.43,-0.026287745
80.44,-0.032023283
80.45,-0.035204072
80.46,-0.037163124
80.47,-0.037703941
80.48,-0.035716593
80.49,-0.031773175
80.5,-0.028010741
80.51,-0.025102302
80.52,-0.021633462
80.53,-0.017207214
80.54,-0.014052378
80.55,-0.014043494
80.56,-0.015287218
80.57,-0.013319387
80.58,-0.005471542
80.59,0.007027394
80.6,0.021174132
80.61,0.03513032
80.62,0.048127847
80.63,0.057867465
80.64,0.059920647
80.65,0.051610481
80.66,0.035919207
80.67,0.019540184
80.68,0.00724247
80.69,-3.09E-07
80.7,-0.002138264
80.71,0.0013606
80.72,0.009182603
80.73,0.016864757
80.74,0.019599609
80.75,0.015938886
80.76,0.008186028
80.77,-0.000261143
80.78,-0.007158949
80.79,-0.011394741
80.8,-0.012253688
80.81,-0.009928101
80.82,-0.006514689
80.83,-0.00523326
80.84,-0.007758087
80.85,-0.01264793
80.86,-0.017007897
80.87,-0.019291202
80.88,-0.019801821
80.89,-0.018974187
80.9,-0.01635927
80.91,-0.011593423
80.92,-0.005606919
80.93,-0.000129963
80.94,0.003898312
80.95,0.006685168
80.96,0.008248761
80.97,0.007750989
80.98,0.004742503
80.99,0.000179064
81,-0.004612963
81.01,-0.009402489
81.02,-0.014706249
81.03,-0.020297271
81.04,-0.024845928
81.05,-0.027154138
81.06,-0.02729306
81.07,-0.02627356
81.08,-0.024656776
81.09,-0.021644653
81.1,-0.015814553
81.11,-0.006861301
81.12,0.003786515
81.13,0.014308071
81.14,0.023841524
81.15,0.032070084
81.16,0.038203024
81.17,0.041219021
81.18,0.040856909
81.19,0.037773961
81.2,0.032916112
81.21,0.027153929
81.22,0.021309755
81.23,0.016023047
81.24,0.011500045
81.25,0.007646887
81.26,0.004559938
81.27,0.00276583
81.28,0.002800862
81.29,0.00444762
81.3,0.006463244
81.31,0.007278257
81.32,0.006039071
81.33,0.002815709
81.34,-0.002194232
81.35,-0.009229715
81.36,-0.018317406
81.37,-0.028192529
81.38,-0.036404905
81.39,-0.040794402
81.4,-0.040732448
81.41,-0.036903816
81.42,-0.030307443
81.43,-0.021823955
81.44,-0.012497385
81.45,-0.003685822
81.46,0.003333445
81.47,0.007919751
81.48,0.01030473
81.49,0.011385159
81.5,0.012227077
81.51,0.013538403
81.52,0.015336119
81.53,0.01693014
81.54,0.017263617
81.55,0.015505565
81.56,0.011524738
81.57,0.005843804
81.58,-0.00080875
81.59,-0.007734969
81.6,-0.014035828
81.61,-0.01847323
81.62,-0.019987695
81.63,-0.018485148
81.64,-0.014990232
81.65,-0.010970021
81.66,-0.007558562
81.67,-0.005331022
81.68,-0.004464136
81.69,-0.004759158
81.7,-0.005463946
81.71,-0.005325651
81.72,-0.003116724
81.73,0.001697882
81.74,0.008663095
81.75,0.016538123
81.76,0.023747506
81.77,0.028829101
81.78,0.030831194
81.79,0.029638546
81.8,0.026062977
81.81,0.021536921
81.82,0.017526594
81.83,0.015020193
81.84,0.014312185
81.85,0.01499596
81.86,0.01605658
81.87,0.016169015
81.88,0.014255096
81.89,0.01000168
81.9,0.003943981
81.91,-0.002923109
81.92,-0.009671648
81.93,-0.015754593
81.94,-0.020994915
81.95,-0.025389346
81.96,-0.028956248
81.97,-0.031711733
81.98,-0.033659959
81.99,-0.034717619
82,-0.034682619
82.01,-0.033350071
82.02,-0.030662021
82.03,-0.026722051
82.04,-0.021711513
82.05,-0.01586329
82.06,-0.009504034
82.07,-0.003043279
82.08,0.003114689
82.09,0.008623634
82.1,0.013157483
82.11,0.01638327
82.12,0.018058454
82.13,0.018196879
82.14,0.017118048
82.15,0.015299311
82.16,0.013175372
82.17,0.011072697
82.18,0.009270122
82.19,0.00802466
82.2,0.007494799
82.21,0.007667907
82.22,0.008400859
82.23,0.009531094
82.24,0.010925313
82.25,0.012414394
82.26,0.013707899
82.27,0.014415229
82.28,0.014183456
82.29,0.012835522
82.3,0.01040829
82.31,0.007110057
82.32,0.003272799
82.33,-0.000685569
82.34,-0.004326512
82.35,-0.007285336
82.36,-0.009345416
82.37,-0.010457096
82.38,-0.010707819
82.39,-0.01025449
82.4,-0.009221785
82.41,-0.00761156
82.42,-0.005322667
82.43,-0.002331459
82.44,0.001079054
82.45,0.004252611
82.46,0.006350325
82.47,0.006668029
82.48,0.004867258
82.49,0.001036821
82.5,-0.00433936
82.51,-0.01042567
82.52,-0.016116469
82.53,-0.020236521
82.54,-0.021855048
82.55,-0.020581192
82.56,-0.016690458
82.57,-0.011040068
82.58,-0.004838914
82.59,0.000649787
82.6,0.004424066
82.61,0.006008709
82.62,0.005565623
82.63,0.003784589
82.64,0.00160043
82.65,-0.000140972
82.66,-0.000949868
82.67,-0.000811657
82.68,-0.000113604
82.69,0.000597433
82.7,0.00090758
82.71,0.000719036
82.72,0.000241354
82.73,-0.000153488
82.74,-8.88E-05
82.75,0.000716248
82.76,0.002382327
82.77,0.00481202
82.78,0.007668636
82.79,0.010455924
82.8,0.012694402
82.81,0.014095102
82.82,0.014624525
82.83,0.014446297
82.84,0.013809219
82.85,0.012948837
82.86,0.012020265
82.87,0.011061091
82.88,0.009994815
82.89,0.008677398
82.9,0.006962565
82.91,0.004760054
82.92,0.002085246
82.93,-0.000899454
82.94,-0.003880546
82.95,-0.006463071
82.96,-0.008302491
82.97,-0.009228644
82.98,-0.009291688
82.99,-0.008724411
83,-0.007874352
83.01,-0.007149199
83.02,-0.006961044
83.03,-0.007631388
83.04,-0.009266294
83.05,-0.011671567
83.06,-0.014374764
83.07,-0.016755898
83.08,-0.018228791
83.09,-0.018403225
83.1,-0.017178928
